Cod interno;Descripcion;Precio Lista
1;Speed Unlimited 250ml;1206,43
1/1;Speed Unlimited Zero 250ml;1206,43
1/2;Agua BLOCK 500cc;507
1/5;Speed x 250ml SIN CARGO;0
1/55;Speed Zero x 250ml SIN CARGO;0
1/6;Speed x 473ml SIN CARGO;0
1/66;Speed Zero x 473ml SIN CARGO;0
10;Petaca Moser x 200ml;6750
2;Speed Unlimited 473ml;1888,92
2/2;Speed Unlimited Zero 473ml;1888,92
3;Renaissance Extra Brut x 750ml;3974,6
4;Renaissance DU x 750ml;4139,8
5;Hodlmoser x 700ml;19575
7;Red Raven Liquor Vodka x 700ml;8769,75
8;Liason Extra Brut x 750 ml;6755
8/1;Liason Magnum x 1.5 lt;28350
9;Small Box Moser 200ml + 2 latas;9520,2
9/1;Gift Pack Moser 200ml + Shots;8785,8
9/2;BOX Hodlmoser + 6 latas 250ml;24999
9/3;Combo Moser + Estirilla;64999,13
C1;Combo Maleficio Clasico + 2 SP + Vaso;8598,99
C2;Combo Maleficio Frambuesa + 2 SP + Vaso;8984,99
C3;Combo Maleficio Mango + 2 SP + Vaso;8984,99
307/1;Dr Lemon Tropical gin 473ml;1417
308/1;Dr Lemon Gin Tonic lata 473ml;1496,35
309;Pronto Shake 4.2 473cc;1445,6
309/1;Pronto Bitt 4.5 473cc;1445,6
309/2;Pronto Shake 1 lt;2250
311;Gancia + Limon 473ml;1856,68
311/1;Gancia Hibiscus Vodka x 473ml;1287,5
314;Hesperidina x 1 lt;8187,5
315;Hierroquina Peretti x 1 lt;4918,75
343;Cinzano Rosso 1lt;5271,5
344;Cinzano Rosso 450cc;2080
345;Cinzano Bianco americo 1lt;4199
346;Cinzano Bianco americo 450cc;2080
347;Cinzano DRY 1lt;4037,5
349;Amargo Obrero 950ml;2986,1
349/1;Marcela Americano x 950ml;2993,92
368;SAMT Rojo + Pomelo 473ml;1006,25
368/1;SAMT Rojo + Naranja 473ml;1006,25
368/2;SAMT Rojo + Soda 473ml;1006,25
379;Martini Bianco 1lt;4897,5
380;Martini Rosso 1lt;5101,25
381;Martini Extra Dry 1lt;7156,25
382;Carpano Rosso x 950ml;6066,25
382/1;Carpano Bianco x 950ml;2602
443;Dr Lemon Limon 1 lts;2693,36
443/1;Dr Lemon Limon lata 473ml;1547,04
444;Dr Lemon Pomelo 1 lts;2693,36
444/1;Dr Lemon Pomelo lata 473ml;1496,35
445;Dr Lemon Vodka 1lts.;2693,36
445/1;Dr Lemon Vodka lata 473ml;1547,04
445/2;Dr Lemon Vodka x 275ml;1024,52
446;Dr Lemon Mojito 1 lts;2693,36
446/1;Dr Lemon Mojito lata 473ml;1496,35
448/1;Dr Lemon Black Cherry 473ml;1214,4
77;Cynar clasico 750cc;6177,5
77/1;Cynar High proof 750cc;6125
78;Campari 450cc;4480
79;Campari 750cc;7421,25
80;Aperol 750cc;7361,88
89;Americano Gancia 450cc;3283,8
90/1;Americano Gancia 950cc;5975,64
90/2;Gancia Spritz Hibiscus x 750 ml;5886,25
90/3;Livenza Spritz x 750ml;5028,75
114;Heineken x 473 ml;1818,75
115;Cerveza Ortuzar Lager x 473ml;999,03
215;Munich Beer x 330ml;1297,52
216;Corona Extra x 330ml;1950
226;Goyeneche Golden 500cc;1898,4
227;Goyeneche Scottish 500cc;1898,4
228;Goyeneche Porter 500cc;1989,4
229;Goyeneche Honey 500cc;1989,4
230;Goyeneche IPA 500cc;2538,2
231;Goyeneche Blonde Ale 500cc;1898,4
348;Cinzano Pro Spritz 750cc;5135
456;Freixenet Prosecco Doc. 750cc;38500
457;Freixenet Prosecco Italian Rose 750cc;29260
491;FDA Sparkling Spritz x 750ml;3781,25
492;FDA Sparkling Strawberry x 750ml;3781,25
493;FDA Sparkling Sweet x 750ml;3781,25
493/1;FDA Unlimited Rosado Dulce x 750ml;3968,88
493/2;FDA Unlimited Demisec x 750ml;3968,88
494;Moutier Extra Dulce x 750ml;2848,75
494/1;Moutier Extra Brut x 750ml;2848,75
495;FDA Unlimited Rosado Extra Dulce x 750ml;3968,88
496;FDA Unlimited Extra Dulce x 750ml;3968,88
496/1;FDA Unlimited Extra Brut x 750ml;3968,88
496/2;FDA Unlimited Dulce x 750ml;3968,88
606;Chandon Demisec 750ml;12386,25
607;Chandon Extra Brut 750ml;16301,25
608;Chandon Delice 750cc;12386,25
609;Chandon Aperitif 750ml;12386,25
610;Baron B Extra Brut 750ml;30388,75
611;Maria Codorniu Extra Brut x 750 ml;7330,96
612;Maria Codorniu Dulce x 750ml;7330,96
618;Chandon Cuvée Brut Nature 750ml;14875
619;Chandon Rose 750ml;12386,25
625;Veuve Clicquot Brut est. 750cc;137610
625/1;Veuve Clicquot Rich x 750ml;153450
625/2;Veuve Clicquot Demisec x 750ml;122998,77
626;Moet & Chandon Rose x 750ml;164998,35
732;Los Haroldos Extra Brut 750cc;5493,75
732/1;Los Haroldos Esp Rose 750cc;5845,35
490/1;Antonieta Rose 750ml;15209,6
529;Margarita Para los Chanchos Esp. 750;5613,63
740;Antonieta Brut Nature 750ml;15695
256;Estuche Gascon Roble Malbec x 750ml;8325,2
257;Estuche Escorihuela Malbec x 750ml;14985,1
258;Estuche Escorihuela x 2 und. ;22852,7
259;Estuche MEG x750ml;45192,07
260;Estuche Gascon Malbec x 750ml;8083,74
262;Estuche Esc. Gascon Gran Reserva x 750ml;20696,13
263;Estuche DON Escorihuela Malb. x 750ml;68501,65
287;Estuche Negroni Argentino ;24179,2
510/2;Estuche DV Catena x2;32000
511;Estuche Septima Gran Reserva x 750ml;18042,75
511/1;Estuche Septima Prestige x 4 un.;97200
539;Estuche Nicasia Red Blend x2 750cc;17181,25
580;Estuche Aristides Malbec 750ml;11423,75
581;Estuche Aristides Cabernet 750ml;11423,75
656;Estuche Estiba I  x2 x 750ml;11942,4
657;Estuche Uxmal x2 x.750ml;13575,68
674;Estuche Alma Negra Blend 750cc;22287,2
741/1;Estuche Bressano + 2 copas;36312,5
744;Estuche Hermandad 3 Bot. 750cc;40157
746;Estuche Ferus Malbec x1 750ml;20952,5
E10;Estuche Antonieta Rose Esp x2;8557,9
160;Fernet 1882 750cc;7231,9
160/1;Fernet 1882 450ml;3937,28
161;Fernet con cola 1882 473cc ;1112,5
417;Fernet Workers x 750ml;4104
51;Branca 750 ml;14727,5
51/1;Branca Menta 750 ml;9090
52;Branca 450 ml;5958,75
52/1;Branca Menta 450 ml;5958,75
53;Branca 1 lt;16375
54;Branca Mini x 50 ml;1817,5
116;Gaseosa Cimes Cola x2.25L;1195,67
117;Gaseosa Cimes Lima  x2.25L;1195,67
118;Gaseosa Cimes Naranja x2.25L;1195,67
119;Gaseosa Cimes Pomelo x2.25L;1195,67
210;Heraclito Blend de Tecnicas 750cc;12023,75
212;Heraclito London dry 700cc;11362,19
212/2;Heraclito & Macedonio 700cc;13606,6
213;Hendricks x700;49187,39
214;Bombay Sapphire 750ml;25269,76
214/1;Bombay Bramble 700ml;23681,25
217;Gin Spirito blu 750cc;14621,25
217/1;Fisherton Gin x 750ml;7500
218;Bulldog gin 700cc;25125
